id,tx_ref,from_account_id,to_account_id,amount,channel,timestamp,is_flagged,tags
145,TX-0000145,71,72,5757.08,P2P,2025-11-23T21:18:07.097073,True,mule_layer
146,TX-0000146,73,78,4739.11,Wallet,2025-11-23T21:02:07.097073,True,mule_layer
147,TX-0000147,75,73,7246.54,P2P,2025-11-24T13:14:07.097073,True,mule_layer
148,TX-0000148,75,72,4231.06,P2P,2025-11-25T12:01:07.097073,True,mule_layer
149,TX-0000149,75,74,4575.39,P2P,2025-11-27T01:30:07.097073,True,mule_layer
150,TX-0000150,74,78,2467.63,Bills,2025-11-26T01:13:07.097073,True,mule_layer
151,TX-0000151,71,76,6902.65,Wallet,2025-11-23T09:14:07.097073,True,mule_layer
152,TX-0000152,72,74,4298.42,P2P,2025-11-26T14:51:07.097073,True,mule_layer
153,TX-0000153,201,202,1786.47,Wallet,2025-11-24T12:29:07.097073,True,identity_overlap
154,TX-0000154,202,203,3207.11,Wallet,2025-11-25T23:12:07.097073,True,identity_overlap
155,TX-0000155,203,204,2356.78,Wallet,2025-11-26T10:31:07.097073,True,identity_overlap
156,TX-0000156,204,205,1729.16,Wallet,2025-11-25T11:29:07.097073,True,identity_overlap
157,TX-0000157,205,206,2656.27,Wallet,2025-11-23T22:35:07.097073,True,identity_overlap
158,TX-0000158,206,207,3638.08,P2P,2025-11-25T12:26:07.097073,True,identity_overlap
159,TX-0000159,207,208,1730.37,QR,2025-11-23T20:46:07.097073,True,identity_overlap
160,TX-0000160,209,210,1367.25,P2P,2025-11-21T17:04:07.097073,True,identity_overlap
161,TX-0000161,210,211,2436.89,QR,2025-11-23T00:38:07.097073,True,identity_overlap
162,TX-0000162,211,212,3467.62,QR,2025-11-21T18:32:07.097073,True,identity_overlap
163,TX-0000163,212,213,2312.12,Wallet,2025-11-22T12:10:07.097073,True,identity_overlap
164,TX-0000164,213,214,1534.40,Wallet,2025-11-26T08:39:07.097073,True,identity_overlap
165,TX-0000165,214,215,1850.60,Bills,2025-11-25T23:07:07.097073,True,identity_overlap
166,TX-0000166,215,216,2349.00,QR,2025-11-26T14:44:07.097073,True,identity_overlap
167,TX-0000167,217,218,961.94,Bills,2025-11-22T13:04:07.097073,True,identity_overlap
168,TX-0000168,218,219,2412.25,Bills,2025-11-25T23:03:07.097073,True,identity_overlap
169,TX-0000169,219,220,558.41,P2P,2025-11-26T16:36:07.097073,True,identity_overlap
170,TX-0000170,220,221,1255.10,Bills,2025-11-26T08:15:07.097073,True,identity_overlap
171,TX-0000171,221,222,1502.71,Bills,2025-11-21T11:05:07.097073,True,identity_overlap
172,TX-0000172,222,223,2956.34,Wallet,2025-11-26T16:04:07.097073,True,identity_overlap
173,TX-0000173,223,224,792.59,Wallet,2025-11-26T20:14:07.097073,True,identity_overlap
174,TX-0000174,225,226,2377.37,P2P,2025-11-23T14:57:07.097073,True,identity_overlap
175,TX-0000175,226,227,2945.37,Wallet,2025-11-21T23:34:07.097073,True,identity_overlap
176,TX-0000176,227,228,1355.68,P2P,2025-11-23T10:04:07.097073,True,identity_overlap
177,TX-0000177,228,229,2643.04,QR,2025-11-26T19:33:07.097073,True,identity_overlap
178,TX-0000178,229,230,918.05,Wallet,2025-11-22T01:09:07.097073,True,identity_overlap
179,TX-0000179,230,231,1073.41,QR,2025-11-24T19:51:07.097073,True,identity_overlap
180,TX-0000180,231,232,1801.54,QR,2025-11-21T21:31:07.097073,True,identity_overlap
181,TX-0000181,233,234,3200.01,QR,2025-11-26T10:53:07.097073,True,identity_overlap
182,TX-0000182,234,235,1451.93,QR,2025-11-26T05:52:07.097073,True,identity_overlap
183,TX-0000183,235,236,2696.36,Bills,2025-11-23T08:06:07.097073,True,identity_overlap
184,TX-0000184,236,237,1760.43,Wallet,2025-11-23T12:59:07.097073,True,identity_overlap
185,TX-0000185,237,238,1050.58,P2P,2025-11-26T17:45:07.097073,True,identity_overlap
186,TX-0000186,238,239,3092.73,P2P,2025-11-27T01:07:07.097073,True,identity_overlap
187,TX-0000187,239,240,1355.93,QR,2025-11-23T12:28:07.097073,True,identity_overlap
188,TX-0000188,1443,654,488.45,P2P,2025-11-13T06:40:07.097073,False,legit
189,TX-0000189,1323,1436,1799.35,Bills,2025-11-16T17:53:07.097073,False,legit
190,TX-0000190,830,755,1069.83,QR,2025-11-15T16:17:07.097073,False,legit
191,TX-0000191,1346,580,1450.26,P2P,2025-11-25T19:25:07.097073,False,legit
192,TX-0000192,729,1324,1313.65,Bills,2025-11-26T23:11:07.097073,False,legit
193,TX-0000193,1399,977,2171.78,QR,2025-11-14T14:22:07.097073,False,legit
194,TX-0000194,589,1067,1169.03,Wallet,2025-11-21T15:35:07.097073,False,legit
195,TX-0000195,1078,1304,794.58,Wallet,2025-11-17T09:42:07.097073,False,legit
196,TX-0000196,878,1106,2431.05,Wallet,2025-11-14T06:53:07.097073,False,legit
197,TX-0000197,1279,1316,650.56,Bills,2025-11-27T00:44:07.097073,False,legit
198,TX-0000198,739,1055,898.74,P2P,2025-11-13T14:06:07.097073,False,legit
199,TX-0000199,502,1278,1660.39,QR,2025-11-13T22:00:07.097073,False,legit
200,TX-0000200,711,1043,2458.63,Bills,2025-11-20T23:30:07.097073,False,legit
201,TX-0000201,1496,646,1793.55,P2P,2025-11-25T17:38:07.097073,False,legit
202,TX-0000202,1419,1366,1323.41,QR,2025-11-15T09:54:07.097073,False,legit
203,TX-0000203,1498,1266,258.01,Wallet,2025-11-25T12:05:07.097073,False,legit
204,TX-0000204,577,1107,1441.16,Wallet,2025-11-20T17:28:07.097073,False,legit
205,TX-0000205,799,768,2134.74,Bills,2025-11-12T14:24:07.097073,False,legit
206,TX-0000206,826,964,716.29,Wallet,2025-11-25T20:54:07.097073,False,legit
207,TX-0000207,1299,1289,1482.53,P2P,2025-11-24T19:56:07.097073,False,legit
208,TX-0000208,961,978,819.38,QR,2025-11-25T18:27:07.097073,False,legit
209,TX-0000209,963,816,1185.20,P2P,2025-11-13T22:27:07.097073,False,legit
210,TX-0000210,662,1327,1730.83,P2P,2025-11-13T18:12:07.097073,False,legit
211,TX-0000211,1356,1378,853.09,Wallet,2025-11-25T13:24:07.097073,False,legit
212,TX-0000212,906,1026,169.93,QR,2025-11-22T19:36:07.097073,False,legit
213,TX-0000213,532,1475,1040.76,Wallet,2025-11-19T22:19:07.097073,False,legit
214,TX-0000214,974,605,2019.55,P2P,2025-11-25T01:08:07.097073,False,legit
215,TX-0000215,564,1351,1963.35,Wallet,2025-11-23T18:47:07.097073,False,legit
216,TX-0000216,1344,911,961.99,P2P,2025-11-16T05:40:07.097073,False,legit
217,TX-0000217,1101,766,2297.70,P2P,2025-11-25T23:20:07.097073,False,legit
218,TX-0000218,703,1425,1632.67,Wallet,2025-11-14T22:24:07.097073,False,legit
219,TX-0000219,1427,1368,2081.92,P2P,2025-11-22T00:05:07.097073,False,legit
220,TX-0000220,1465,973,174.06,Bills,2025-11-12T12:04:07.097073,False,legit
221,TX-0000221,1009,531,987.69,Wallet,2025-11-20T13:28:07.097073,False,legit
222,TX-0000222,720,1431,508.52,Bills,2025-11-22T20:28:07.097073,False,legit
223,TX-0000223,536,1129,1566.98,QR,2025-11-23T08:31:07.097073,False,legit
224,TX-0000224,922,1404,1399.19,P2P,2025-11-26T16:00:07.097073,False,legit
225,TX-0000225,893,641,1077.13,Wallet,2025-11-16T06:59:07.097073,False,legit
226,TX-0000226,1314,520,2474.04,QR,2025-11-14T09:10:07.097073,False,legit
227,TX-0000227,1058,1301,1237.46,QR,2025-11-12T12:17:07.097073,False,legit
228,TX-0000228,777,685,113.85,Wallet,2025-11-18T00:32:07.097073,False,legit
229,TX-0000229,1418,1331,1957.42,Bills,2025-11-26T07:28:07.097073,False,legit
230,TX-0000230,867,1286,1480.77,Wallet,2025-11-23T22:07:07.097073,False,legit
231,TX-0000231,754,1173,640.82,P2P,2025-11-18T18:03:07.097073,False,legit
232,TX-0000232,1090,1367,2457.53,QR,2025-11-20T19:37:07.097073,False,legit
233,TX-0000233,681,743,1501.67,QR,2025-11-15T00:35:07.097073,False,legit
234,TX-0000234,1221,1218,911.62,Wallet,2025-11-17T06:19:07.097073,False,legit
235,TX-0000235,1472,693,2099.91,Bills,2025-11-14T07:02:07.097073,False,legit
236,TX-0000236,817,680,1251.57,P2P,2025-11-25T17:36:07.097073,False,legit
237,TX-0000237,1117,725,98.82,P2P,2025-11-19T14:13:07.097073,False,legit
238,TX-0000238,1440,1129,543.59,QR,2025-11-24T19:29:07.097073,False,legit
239,TX-0000239,1441,1322,2118.50,P2P,2025-11-22T00:48:07.097073,False,legit
240,TX-0000240,652,1101,1776.51,P2P,2025-11-24T07:35:07.097073,False,legit
241,TX-0000241,1382,874,2403.37,Bills,2025-11-21T05:32:07.097073,False,legit
242,TX-0000242,604,845,789.32,Wallet,2025-11-24T10:38:07.097073,False,legit
243,TX-0000243,1311,1155,2403.62,QR,2025-11-16T19:36:07.097073,False,legit
244,TX-0000244,1225,1492,1426.84,QR,2025-11-12T17:55:07.097073,False,legit
245,TX-0000245,1182,1104,2045.41,QR,2025-11-20T15:29:07.097073,False,legit
246,TX-0000246,631,682,1835.64,Bills,2025-11-15T06:10:07.097073,False,legit
247,TX-0000247,534,687,1525.85,Wallet,2025-11-12T06:14:07.097073,False,legit
248,TX-0000248,607,1460,1265.65,P2P,2025-11-21T17:25:07.097073,False,legit
249,TX-0000249,856,828,461.32,P2P,2025-11-12T14:05:07.097073,False,legit
250,TX-0000250,958,512,699.77,P2P,2025-11-23T13:35:07.097073,False,legit
251,TX-0000251,763,1306,314.68,P2P,2025-11-26T12:22:07.097073,False,legit
252,TX-0000252,949,1251,1078.15,Bills,2025-11-24T08:43:07.097073,False,legit
253,TX-0000253,1403,888,910.52,P2P,2025-11-20T09:11:07.097073,False,legit
254,TX-0000254,1308,1385,1466.24,Wallet,2025-11-14T19:59:07.097073,False,legit
255,TX-0000255,963,576,2008.03,QR,2025-11-27T00:51:07.097073,False,legit
256,TX-0000256,827,768,2381.57,QR,2025-11-25T19:44:07.097073,False,legit
257,TX-0000257,1410,885,444.22,P2P,2025-11-25T14:00:07.097073,False,legit
258,TX-0000258,1109,1129,2238.40,P2P,2025-11-15T10:49:07.097073,False,legit
259,TX-0000259,1466,1170,454.24,Bills,2025-11-12T20:11:07.097073,False,legit
260,TX-0000260,555,604,861.18,Bills,2025-11-23T06:38:07.097073,False,legit
261,TX-0000261,1240,1448,1838.44,QR,2025-11-22T15:23:07.097073,False,legit
262,TX-0000262,744,599,171.61,Bills,2025-11-17T20:18:07.097073,False,legit
263,TX-0000263,556,870,59.35,QR,2025-11-25T09:09:07.097073,False,legit
264,TX-0000264,705,600,113.05,QR,2025-11-24T22:45:07.097073,False,legit
265,TX-0000265,985,1365,333.00,Bills,2025-11-14T09:28:07.097073,False,legit
266,TX-0000266,1001,1417,1669.55,Bills,2025-11-25T19:14:07.097073,False,legit
267,TX-0000267,880,1407,984.54,Bills,2025-11-25T00:01:07.097073,False,legit
268,TX-0000268,770,951,1189.39,QR,2025-11-23T06:17:07.097073,False,legit
269,TX-0000269,564,655,1892.98,P2P,2025-11-16T22:37:07.097073,False,legit
270,TX-0000270,1185,853,2030.04,Wallet,2025-11-20T06:39:07.097073,False,legit
271,TX-0000271,563,1361,998.41,Bills,2025-11-18T07:16:07.097073,False,legit
272,TX-0000272,1204,1388,2344.09,Wallet,2025-11-17T09:17:07.097073,False,legit
273,TX-0000273,807,581,1017.27,P2P,2025-11-13T08:24:07.097073,False,legit
274,TX-0000274,1085,1423,1316.20,Wallet,2025-11-17T21:26:07.097073,False,legit
275,TX-0000275,1473,1276,1150.15,Wallet,2025-11-24T18:58:07.097073,False,legit
276,TX-0000276,630,544,1087.27,Bills,2025-11-16T18:39:07.097073,False,legit
277,TX-0000277,1343,1143,412.30,QR,2025-11-17T14:38:07.097073,False,legit
278,TX-0000278,1433,1245,2289.73,P2P,2025-11-25T12:18:07.097073,False,legit
279,TX-0000279,1070,907,1402.53,QR,2025-11-13T07:48:07.097073,False,legit
280,TX-0000280,970,1440,2189.99,Bills,2025-11-14T21:42:07.097073,False,legit
281,TX-0000281,925,654,413.09,P2P,2025-11-17T21:56:07.097073,False,legit
282,TX-0000282,1077,1299,297.43,QR,2025-11-22T11:31:07.097073,False,legit
283,TX-0000283,771,893,1654.23,Bills,2025-11-18T00:16:07.097073,False,legit
284,TX-0000284,677,783,1037.29,Bills,2025-11-18T00:13:07.097073,False,legit
285,TX-0000285,906,1411,2203.45,Wallet,2025-11-15T23:52:07.097073,False,legit
286,TX-0000286,1264,987,2306.05,QR,2025-11-13T00:51:07.097073,False,legit
287,TX-0000287,846,1338,1994.45,QR,2025-11-22T08:46:07.097073,False,legit
288,TX-0000288,1379,1213,1727.89,Wallet,2025-11-13T20:57:07.097073,False,legit
289,TX-0000289,808,1498,1872.12,QR,2025-11-14T16:21:07.097073,False,legit
290,TX-0000290,1247,927,1532.20,Wallet,2025-11-25T10:28:07.097073,False,legit
291,TX-0000291,717,1436,2068.73,Bills,2025-11-15T07:55:07.097073,False,legit
292,TX-0000292,1389,883,2061.49,Wallet,2025-11-18T23:18:07.097073,False,legit
293,TX-0000293,819,1227,1291.65,P2P,2025-11-24T19:37:07.097073,False,legit
294,TX-0000294,698,1397,2090.68,P2P,2025-11-13T17:02:07.097073,False,legit
295,TX-0000295,534,968,173.87,Wallet,2025-11-21T16:11:07.097073,False,legit
296,TX-0000296,878,1344,1187.34,P2P,2025-11-21T00:30:07.097073,False,legit
297,TX-0000297,748,882,1247.53,Wallet,2025-11-19T09:21:07.097073,False,legit
298,TX-0000298,1101,1065,906.91,QR,2025-11-24T22:27:07.097073,False,legit
299,TX-0000299,792,529,997.09,Wallet,2025-11-24T17:59:07.097073,False,legit
300,TX-0000300,1163,731,1710.35,Bills,2025-11-22T08:01:07.097073,False,legit
301,TX-0000301,521,1386,1961.74,P2P,2025-11-14T09:22:07.097073,False,legit
302,TX-0000302,1434,636,1636.06,P2P,2025-11-17T17:54:07.097073,False,legit
303,TX-0000303,759,1123,2022.46,QR,2025-11-22T11:05:07.097073,False,legit
304,TX-0000304,1417,886,2136.39,QR,2025-11-19T18:06:07.097073,False,legit
305,TX-0000305,978,810,1709.13,Bills,2025-11-13T05:35:07.097073,False,legit
306,TX-0000306,605,508,1303.21,QR,2025-11-16T06:23:07.097073,False,legit
307,TX-0000307,1163,1109,1542.17,P2P,2025-11-22T09:06:07.097073,False,legit
